deviceid,name,lat,lon
6848374673,TW150114A0203233,22.97604,120.24499
6843952569,TW150114A0203230,23.2256033,120.309325
6845933853,TW150114A0203216,22.97723,120.2413
6845491095,TW150114A0203283,23.3341566,120.290655
6844966307,TW150114A0203298,22.93046,120.24548
6845792743,TW150114A0203279,22.92712,120.22666
6841750928,TW150114A0203254,23.18583,120.17606
6843562342,TW150114A0203203,22.9913,120.25136
6840437227,TW150114A0203299,22.9223,120.22741
6841642026,TW150114A0203253,23.18607,120.17945
6844650885,TW150114A0203221,22.98535,120.24502
6841188498,TW150114A0203202,22.99147,120.25563
6842005162,TW150114A0203201,22.995126,120.25615
6841021120,TW150114A0203239,23.18874,120.19022
6842130009,TW150114A0203214,22.98148,120.24872
6842298192,TW150114A0203257,23.17879,120.17973
6847338410,TW150114A0203287,22.92536,120.24061
6846366426,TW150114A0203238,23.18567,120.18595
6849853900,TW150114A0203255,23.18671,120.17212
6842820271,TW150114A0203272,23.17484,120.18387
6841236176,TW150114A0203296,22.91997,120.23948
6842954679,TW150114A0203246,23.1906566,120.1838455
6840864179,TW150114A0203259,23.18284,120.17508
6845365132,TW150114A0203205,22.98769,120.2472
6840039663,TW150114A0203260,23.18276,120.17917
8999185197,TW150114A0203298,22.930456,120.245479
6847562564,TW150114A0203269,23.17969,120.1893
6847800241,TW150114A0203207,22.98487,120.25131
6846983624,TW150114A0203220,22.98504,120.24184
6845508547,TW150114A0203261,23.18425,120.17267
6841394469,TW150114A0203284,23.3356916,120.2916583
6844078152,TW150114A0203229,22.98413,120.2576
6849073496,TW150114A0203285,22.9206,120.22109
8998967579,TW150114A0203299,22.922296,120.227415
6845075675,TW150114A0203251,23.17872,120.16956
6846291433,TW150114A0203297,22.92532,120.22272
6843065321,TW150114A0203274,22.92455,120.2254
6849241842,TW150114A0203236,23.17124,120.17563
6843618609,TW150114A0203235,23.1758,120.18099
6842389563,TW150114A0203218,22.98599,120.2385
6845697278,TW150114A0203210,23.2205116,120.307375
6936342210,TW150114A0203250,23.18228,120.1651
6848555032,TW150114A0203276,23.2989233,120.28683
6844240390,TW150114A0203208,22.99029,120.2457
6849516584,TW150114A0203280,23.2967916,120.2761133
6844537919,TW150114A0203267,23.17292,120.17765
6848006658,TW150114A0203228,22.97932,120.2508
6846123246,TW150114A0203293,22.92623,120.21861
6841459323,TW150114A0203282,22.9229353,120.2359236
6845221832,TW150114A0203249,22.94772,120.3301766
6849114249,TW150114A0203291,22.9151,120.22044
8999082524,TW150114A0203300,22.923135,120.224083
6845117360,TW150114A0203286,22.91916,120.22726
6848884239,TW150114A0203281,22.93087,120.2309
6840254822,TW150114A0203295,22.9287,120.23161
6840513410,TW150114A0203264,23.17927,120.17382
6848216472,TW150114A0203268,23.17849,120.18267
6848700502,TW150114A0203244,23.19177,120.17514
6842702353,TW150114A0203225,22.9959,120.25037
6842488219,TW150114A0203217,22.98032,120.2379
6840655108,TW150114A0203300,22.92313,120.22408
6844127499,TW150114A0203234,22.98521,120.26086
6844411829,TW150114A0203256,23.17903,120.17751
6847126250,TW150114A0203245,23.19141,120.1788
6847937886,TW150114A0203292,22.91816,120.22485
6848661897,TW150114A0203223,22.98737,120.25144
6845821242,TW150114A0203266,23.17057,120.17245
6840702498,TW150114A0203243,23.19392,120.18925
6843420313,TW150114A0203252,23.18579,120.18302
6840973934,TW150114A0203270,23.17658,120.18484
6849670164,TW150114A0203209,22.98992,120.24124
6844366333,TW150114A0203275,22.92932,120.22784
6843887016,TW150114A0203237,23.17058,120.1798
6848427995,TW150114A0203271,23.1096366,120.2576533
6848134713,TW150114A0203224,22.98966,120.25435
6846605189,TW150114A0203212,22.98647,120.25422
6843151237,TW150114A0203242,23.19612,120.17849
6843350720,TW150114A0203247,23.19443,120.17005
6846540731,TW150114A0203232,22.9797,120.25451
6847681384,TW150114A0203226,22.98179,120.25707
6841811960,TW150114A0203213,22.99116,120.26034
6841931611,TW150114A0203227,22.98242,120.25102
6840193079,TW150114A0203277,22.93652,120.24231
6842645021,TW150114A0203294,22.92127,120.22491
6842543462,TW150114A0203265,23.17377,120.17412
6847229931,TW150114A0203206,22.98301,120.2385
6847742557,TW150114A0203262,23.18235,120.17051
6840396964,TW150114A0203273,23.17599,120.18838
6843789795,TW150114A0203288,22.92454,120.23187
6848988678,TW150114A0203222,22.97997,120.24501
6843207330,TW150114A0203211,22.98738,120.259
6849363361,TW150114A0203241,23.19494,120.18444
6847009321,TW150114A0203290,22.91607,120.22296
6849794164,TW150114A0203263,23.17745,120.17582
6846046726,TW150114A0203289,22.92349,120.22014
6847426070,TW150114A0203278,22.93378,120.23692
6849402464,TW150114A0203219,22.9817,120.24171
6846708837,TW150114A0203204,22.98208,120.25368
6841567003,TW150114A0203231,22.97674,120.25387
6846868071,TW150114A0203240,23.19061,120.18845
6844715026,TW150114A0203258,23.18136,120.18338
6844804110,TW150114A0203248,23.1913908,120.1681938
6846432587,TW150114A0203215,22.97652,120.24802
