deviceid,name,lat,lon
10906006897,TW110110A0507447,23.9992666,120.7343216
10910075126,TW110110A0507464,23.9794366,120.693825
10923628590,TW110110A0507531,23.999104,120.676528
10909903677,TW110110A0507517,23.9925366,120.742535
10906866744,TW110110A0407457,23.9797883,120.723395
10909199094,TW110110A0507514,24.0017766,120.7146583
10910713232,TW110110A0507485,23.9750666,120.6806766
10906566377,TW110110A0507452,23.9825583,120.751425
10908622497,TW110110A0507510,24.0053,120.6848816
10911976131,TW110110A0507516,23.9930216,120.7444466
10912272191,TW110110A0507507,24.0085766,120.723815
10906127629,TW110110A0507461,23.978045,120.7045066
10908991381,TW110110A0507456,23.9811233,120.7281166
10907809959,TW110110A0507501,23.9950616,120.6761683
10911689765,TW110110A0407502,24.0088866,120.6789416
10909718120,TW110110A0507486,23.9763266,120.6803616
10910316313,TW110110A0507494,23.9975716,120.6896633
10923855544,TW110110A0507533,24.00572,120.677395
10905752878,TW110110A0507449,23.9881416,120.72264
10911138934,TW110110A0507493,23.988415,120.6874616
10922639677,TW110110A0507530,23.9982466,120.7286833
10909380168,TW110110A0507463,23.9790683,120.697
10905938976,TW110110A0507489,23.9957866,120.67971
10904840920,TW110110A0507445,23.989695,120.7328416
10908532017,TW110110A0507470,23.9885966,120.7012716
10926722122,TW110110A0507519,23.9998916,120.7232783
10905613995,TW110110A0507442,23.9928366,120.712265
10904911902,TW110110A0507441,23.9911516,120.7084066
10911849193,TW110110A0507508,24.0030566,120.6893483
10908216751,TW110110A0507515,23.9917666,120.7450733
10904559570,TW110110A0507444,23.9902483,120.735425
10910836329,TW110110A0507509,23.9981016,120.6620616
10912065555,TW110110A0407503,24.0008033,120.658415
10910957117,TW110110A0507512,24.00659,120.7304
10905388210,TW110110A0507446,23.9889816,120.7264516
10910261110,TW110110A0507480,23.9747916,120.6836466
10927354250,TW110110A0407521,23.999325,120.668645
10923133084,TW110110A0507535,23.9974033,120.7211766
10905188871,TW110110A0507471,23.9873366,120.6917133
10908312571,TW110110A0507478,23.988735,120.6711966
10909839145,TW110110A0507488,24.0047866,120.6947083
10922918414,TW110110A0507529,23.9942416,120.7462
10908727984,TW110110A0507460,23.9771866,120.708875
10907473060,TW110110A0507477,23.9743733,120.6875966
10908002068,TW110110A0507455,23.9824083,120.7329333
10905236601,TW110110A0507443,23.9981733,120.7188233
10922477485,TW110110A0507526,23.9974933,120.7371133
10911255654,TW110110A0507513,24.004135,120.73072
10909054103,TW110110A0507472,23.9835733,120.6859883
10904431273,TW110110D0507436,24.008837,120.717026
10906970635,TW110110A0507506,24.0065766,120.7226583
10919588049,TW110110A0507492,23.9860916,120.6871783
10906266196,TW110110A0507496,23.981,120.6933416
10905019368,TW110110A0507465,23.9790333,120.6891383
10906770609,TW110110A0507490,23.9875983,120.678665
10909568250,TW110110A0507482,23.9823,120.67834
10912122126,TW110110A0507474,23.9799183,120.6878983
10921736197,TW110110A0507479,24.0029133,120.655375
10916094623,TW110110D0507440,24.0057616,120.7270933
10910518295,TW110110A0507495,23.9903266,120.68799
10911722286,TW110110A0407504,23.9875966,120.6771883
10906342277,TW110110A0507469,23.9859533,120.69681
10910615802,TW110110A0507483,23.9807533,120.6813883
10905498538,TW110110A0507476,23.9756533,120.6875933
10924029800,TW110110A0407523,24.00496,120.696385
10905874155,TW110110A0507450,23.98412,120.7233716
10907104095,TW110110A0507475,23.9784533,120.6879316
10908174575,TW110110A0507518,23.9913383,120.7384833
10904619501,TW110110D0507437,23.9131616,120.6852283
10909426005,TW110110A0507473,23.98161,120.6879416
10907622248,TW110110A0507453,23.984925,120.7461333
10923015084,TW110110A0507528,24.00442,120.7110466
10907775341,TW110110A0507468,23.9845433,120.6918716
10907272735,TW110110A0507487,23.9785966,120.6801383
10907303732,TW110110A0407458,23.9789033,120.7186583
10907943251,TW110110A0507459,23.97734,120.7141666
10905547203,TW110110A0507448,23.997145,120.7223683
10909205792,TW110110A0507484,23.9799966,120.68436
10911085853,TW110110A0507497,23.9894116,120.70506
10923219377,TW110110A0507532,23.9950866,120.7150583
10922883409,TW110110A0507439,23.9968016,120.7361333
10922743113,TW110110A0507534,24.0037416,120.7116816
10911581709,TW110110A0507499,23.9925283,120.73097
10923332871,TW110110A0507527,24.00792,120.716005
10908481579,TW110110A0507462,23.9785083,120.7007216
10921849564,TW110110A0407491,23.9940516,120.6659833
10907013033,TW110110A0507454,23.98416,120.7392466
10924115132,TW110110A0507525,23.99449,120.745085
10923440082,TW110110A0407522,24.0074766,120.6817416
10911444804,TW110110A0507520,24.000125,120.724945
10907559538,TW110110A0507511,24.0069116,120.72744
10911351612,TW110110A0507500,23.992305,120.6767616
10909610021,TW110110A0507481,23.976855,120.683925
10910105942,TW110110A0507505,24.0088333,120.7217933
10910472640,TW110110A0507498,23.9946866,120.72672
10923556746,TW110110A0407524,23.9957966,120.7458133
10906684021,TW110110A0507467,23.980755,120.6925666
10927233393,TW110110A0507451,23.9825516,120.754305
10904776870,TW110110D0507438,24.0022383,120.736215
10912785045,TW110110A0507466,23.9803583,120.6978833
